id_cliente,nombre,edad,fecha_registro,ultimo_login,pais,ciudad,nro_compras,total_gastado,metodo_pago_preferido,dispositivo,compro_en_campania_pasada
1381,Juan,22,2021-10-29,2027-01-11,COLOMBIA,medellin,7,81.18,tarjeta,,0
1382,Juan,28,2022-11-23,2025-03-20,ARGENTINA,Buenos Aires,6,274.66,Tarjeta,pc,0
1383,Luis,34,2020-10-26,2024-11-02,Perú,Medellín,6,627.5,Efectivo,Móvil,1
1384,,32,2021-02-18,2023-02-28,Colombia,Bogotá,4,-100.0,Tarjeta,pc,0
1385,Laura,22,2016-02-05,2021-06-11,colombia,,2,150.67,Tarjeta,,1
1386,Carlos,43,2020-11-26,2021-02-27,Colombia,,7,2.25,paypal,tablet,1
1387,Carlos,24,2022-10-10,2024-07-12,COLOMBIA,,5,348.8,Efectivo,Móvil,0
1388,Juan,26,2020-04-30,2021-05-07,peru,,4,67.62,paypal,móvil,0
1389,Carlos,38,2021-04-29,2021-02-25,ARGENTINA,bogota,4,80.92,efectivo,tablet,0
1390,Pedro,38,2021-07-04,2025-11-18,argentina,medellin,4,232.49,Tarjeta,tablet,0
1391,Sofía,27,2015-12-29,2017-01-02,,bogota,3,311.35,tarjeta,pc,1
1392,María,0,2021-04-25,2025-03-08,ARGENTINA,Lima,3,102.16,,Pc,0
1393,desconocido,24,2018-09-20,2021-03-20,argentina,Medellín,1,219.04,Tarjeta,,1
1394,Luis,36,2015-03-26,2019-11-03,Perú,,4,626.33,tarjeta,pc,0
1395,,43,2035-01-01,2040-02-10,peru,Lima,8,435.9,paypal,tablet,1
1396,desconocido,34,2019-12-30,2020-01-01,argentina,Buenos Aires,1,241.66,Efectivo,Móvil,0
1397,,29,2015-11-04,2020-04-25,peru,,3,573.17,Tarjeta,móvil,1
1398,Ana,62,2015-09-19,2020-03-11,Colombia,Buenos Aires,7,417.39,efectivo,tablet,0
1399,desconocido,30,2020-04-05,2020-02-06,ARGENTINA,Lima,2,261.13,Tarjeta,Pc,1
1400,María,42,2022-10-15,2023-01-15,ARGENTINA,,8,498.38,tarjeta,,0
1401,Juan,18,2016-09-22,2019-05-11,COLOMBIA,Bogotá,7,340.08,tarjeta,Pc,1
1402,Pedro,21,2016-11-10,2021-03-05,ARGENTINA,medellin,8,139.53,tarjeta,,0
1403,Sofía,42,2017-05-14,2017-12-25,Colombia,medellin,7,139.54,Efectivo,,0
1404,Sofía,47,2021-06-29,2024-04-14,COLOMBIA,CDMX,6,1.77,efectivo,Móvil,0
1405,Pedro,30,2019-09-22,2019-09-29,peru,Buenos Aires,4,6.14,efectivo,Pc,0
1406,Laura,12,2020-01-26,2022-10-19,mexico,Bogotá,3,274.26,tarjeta,Móvil,1
1407,Ana,32,2016-12-27,2017-08-18,argentina,cdmx,4,161.83,efectivo,Pc,1
1408,,37,2018-06-14,2023-06-30,colombia,,0,286.22,efectivo,pc,0
1409,María,36,2019-07-07,2024-10-27,peru,Buenos Aires,7,597.8,paypal,,0
1410,Carlos,28,2015-08-05,2017-07-08,Colombia,bogota,4,-100.0,,móvil,1
1411,desconocido,33,2018-06-23,2023-04-06,peru,Lima,6,18.52,efectivo,,0
1412,Ana,26,2016-03-23,2018-01-18,colombia,CDMX,4,197.0,,móvil,1
1413,desconocido,21,2015-11-15,2019-02-04,Colombia,bogota,5,21.01,tarjeta,tablet,1
1414,María,44,2020-03-24,2023-10-23,ARGENTINA,Bogotá,2,194.2,Efectivo,tablet,0
1415,Luis,36,2020-09-15,2024-07-04,peru,bogota,2,150.04,,pc,0
1416,Luis,33,2022-08-10,2022-06-04,argentina,cdmx,5,249.11,paypal,,1
1417,Ana,28,2017-11-23,2019-11-29,Perú,Buenos Aires,3,86.45,efectivo,pc,1
1418,Juan,32,2015-02-08,2020-05-16,ARGENTINA,Medellín,7,31.06,paypal,móvil,1
1419,María,36,2019-05-22,2023-08-08,ARGENTINA,CDMX,7,53.89,Tarjeta,tablet,1
1420,María,55,2021-03-06,2022-12-04,mexico,bogota,5,230.17,paypal,tablet,1
1421,Pedro,42,2017-04-09,2021-01-27,Perú,Buenos Aires,3,130.08,,,0
1422,Juan,27,2017-05-05,2020-09-13,México,medellin,1,155.66,paypal,móvil,1
1423,,27,2022-04-02,2027-02-20,Perú,cdmx,7,78.02,paypal,Móvil,0
1424,,25,2022-09-08,2022-09-24,mexico,Medellín,4,362.44,efectivo,pc,1
1425,Carlos,32,2020-02-02,2023-12-07,,Buenos Aires,0,1502.97,paypal,tablet,1
1426,Sofía,25,2018-01-07,2023-04-24,colombia,Buenos Aires,1,74.85,,móvil,0
1427,Luis,40,2019-02-09,2023-06-27,mexico,Medellín,-2,253.63,Efectivo,pc,0
1428,,3,2021-10-17,2026-10-14,,,8,37.53,efectivo,,1
1429,Juan,41,2019-12-26,2024-02-13,COLOMBIA,CDMX,10,271.29,tarjeta,móvil,1
1430,María,38,2017-04-21,2020-08-10,ARGENTINA,,4,112.72,Tarjeta,,1
1431,,50,2020-09-10,2023-02-02,México,Lima,5,185.93,tarjeta,Móvil,0
1432,María,45,2021-09-06,2027-01-14,mexico,Medellín,8,54.25,efectivo,,0
1433,,26,2018-06-09,2020-02-13,argentina,cdmx,4,381.65,tarjeta,Pc,1
1434,Luis,44,2021-02-17,2026-02-16,México,bogota,6,38.07,Tarjeta,tablet,1
1435,desconocido,32,2020-04-23,2022-05-06,COLOMBIA,cdmx,6,527.91,,,1
1436,,11,2015-09-27,2016-06-12,Colombia,CDMX,5,12.64,,,0
1437,Juan,36,2022-08-17,2023-09-05,argentina,Medellín,6,67.93,paypal,pc,0
1438,,27,2020-10-25,2024-06-14,Colombia,Lima,9,165.54,tarjeta,móvil,1
1439,Sofía,35,2017-01-04,2022-06-07,argentina,medellin,4,391.05,,móvil,1
1440,Luis,54,2017-06-02,2021-03-21,México,cdmx,5,172.09,efectivo,pc,1
1441,Juan,37,2021-05-20,2023-01-05,argentina,,4,48.7,Efectivo,tablet,0
1442,Pedro,22,2018-01-17,2019-04-26,México,cdmx,7,391.85,Tarjeta,,0
1443,Juan,46,2022-02-04,2026-11-01,colombia,medellin,9,181.35,tarjeta,tablet,1
1444,Sofía,39,2016-10-10,2017-01-19,Colombia,bogota,5,52.88,Efectivo,,0
1445,desconocido,21,2018-03-25,2021-03-27,peru,,6,165.04,Tarjeta,móvil,1
1446,Luis,15,2021-04-16,2024-06-26,COLOMBIA,medellin,3,224.97,tarjeta,tablet,0
1447,Pedro,23,2020-11-12,2024-08-12,argentina,medellin,6,228.22,efectivo,,0
1448,Sofía,45,2015-01-17,2014-12-21,México,bogota,5,257.47,Efectivo,Pc,0
1449,Sofía,31,2015-04-27,2015-04-22,COLOMBIA,CDMX,4,452.17,,Móvil,0
1450,Ana,35,2017-09-09,2022-08-10,,cdmx,6,348.39,Efectivo,Móvil,0
1451,Luis,18,2021-07-08,2021-09-18,Perú,cdmx,7,187.14,tarjeta,Pc,1
1452,Juan,45,2020-01-21,2025-01-16,argentina,Medellín,5,6.54,tarjeta,tablet,0
1453,María,10,2019-03-26,2019-08-30,mexico,,5,276.88,efectivo,,1
1454,desconocido,27,2022-05-17,2023-01-01,ARGENTINA,Lima,6,737.45,efectivo,móvil,1
1455,María,40,2020-12-03,2024-01-31,peru,Medellín,1,72.93,paypal,tablet,1
1456,Juan,21,2017-08-20,2017-10-19,colombia,medellin,5,186.74,tarjeta,pc,0
1457,Juan,42,2018-06-30,2018-09-23,México,Lima,2,292.78,efectivo,pc,0
1458,Luis,24,2017-04-26,2017-06-07,México,Buenos Aires,6,203.82,tarjeta,tablet,0
1459,Juan,20,2021-06-21,2022-12-12,Perú,cdmx,5,511.62,efectivo,Pc,0
1460,Ana,50,2022-10-28,2028-03-24,Perú,medellin,2,128.24,Tarjeta,pc,1
1461,Pedro,36,2016-01-07,2016-04-17,peru,bogota,3,151.79,efectivo,,0
1462,Juan,41,2022-09-08,2026-10-31,argentina,Buenos Aires,5,7.8,efectivo,Móvil,0
1463,María,47,2019-05-26,2020-05-31,Colombia,Bogotá,3,460.96,Tarjeta,móvil,1
1464,Juan,3,2015-06-05,2017-08-23,Perú,,10,60.84,Tarjeta,Pc,0
1465,Ana,42,2022-04-15,2026-04-25,,Buenos Aires,8,767.21,,pc,1
1466,,25,2021-12-30,2024-07-16,Perú,Medellín,4,45.16,paypal,móvil,1
1467,,27,2016-04-09,2018-12-08,mexico,medellin,8,58.46,efectivo,,1
1468,Sofía,40,2017-02-21,2017-06-30,,medellin,3,132.57,Tarjeta,Móvil,1
1469,desconocido,30,2017-03-14,2021-09-15,Colombia,bogota,5,216.06,paypal,pc,1
1470,Carlos,42,2015-08-08,2018-12-19,mexico,CDMX,4,116.2,paypal,pc,0
1471,Pedro,34,2035-01-01,2035-12-27,mexico,Medellín,4,86.72,tarjeta,móvil,0
1472,Laura,37,2019-11-09,2021-10-15,peru,Bogotá,6,155.34,Tarjeta,móvil,0
1473,Sofía,29,2015-04-27,2020-05-01,Perú,bogota,10,635.44,Efectivo,tablet,1
1474,desconocido,22,2021-07-06,2021-05-25,COLOMBIA,Lima,4,653.78,Tarjeta,pc,0
1475,,26,2020-10-04,2023-06-30,,Bogotá,8,79.51,Tarjeta,Móvil,0
1476,María,33,2018-10-06,2020-06-24,colombia,bogota,8,227.99,paypal,móvil,1
1477,Laura,57,2020-07-11,2023-06-01,COLOMBIA,Lima,6,255.96,,Pc,0
1478,desconocido,52,2015-11-04,2016-12-05,ARGENTINA,Bogotá,5,211.93,Tarjeta,pc,0
1479,desconocido,27,2015-08-10,2017-10-27,colombia,Lima,5,23.98,Tarjeta,Pc,0
1480,Sofía,35,2018-04-11,2021-08-21,argentina,Buenos Aires,7,155.08,,pc,0
1481,Laura,31,2017-03-07,2017-07-14,Colombia,bogota,5,288.15,paypal,móvil,1
1482,Luis,36,2019-03-10,2019-10-28,peru,medellin,6,44.83,paypal,tablet,1
1483,Carlos,38,2015-05-31,2020-04-30,COLOMBIA,Lima,8,85.61,tarjeta,pc,1
1484,Luis,41,2019-09-17,2023-11-02,Perú,Bogotá,7,45.58,tarjeta,,1
1485,Laura,0,2019-04-06,2020-12-16,Colombia,cdmx,6,435.95,Tarjeta,móvil,0
1486,Luis,39,2015-04-22,2018-07-09,mexico,CDMX,6,391.14,Tarjeta,móvil,0
1487,Ana,30,2016-11-13,2018-06-26,,cdmx,4,37.07,,móvil,1
1488,,26,2018-03-07,2018-01-22,ARGENTINA,Buenos Aires,2,285.88,efectivo,Pc,1
1489,Ana,44,2021-07-07,2025-04-22,peru,Bogotá,4,90.5,Efectivo,móvil,1
1490,Juan,52,2019-04-15,2021-01-23,mexico,Medellín,2,231.78,efectivo,Pc,1
1491,Luis,43,2017-06-11,2019-01-09,Colombia,,7,135.99,efectivo,Móvil,1
1492,Juan,28,2018-08-23,2019-11-25,,Buenos Aires,3,127.72,Tarjeta,,0
1493,María,22,2015-06-10,2019-09-19,ARGENTINA,medellin,2,426.21,paypal,,0
1494,Pedro,-1,2018-11-26,2023-04-18,mexico,,4,202.65,paypal,,1
1495,María,37,2015-10-05,2020-11-25,ARGENTINA,Lima,4,53.78,Efectivo,tablet,1
1496,Laura,41,2019-04-06,2019-12-10,Colombia,bogota,2,23.48,paypal,,0
1497,desconocido,33,2016-05-11,2019-01-26,Perú,Bogotá,6,541.83,Tarjeta,móvil,1
1498,,46,2018-10-27,2021-10-09,México,Bogotá,5,33.3,,Móvil,0
1499,Luis,19,2020-03-30,2024-09-04,argentina,Medellín,4,264.91,paypal,móvil,1
1500,Sofía,32,2016-10-16,2018-12-10,argentina,bogota,5,136.98,,Móvil,0
1501,Pedro,31,2015-10-30,2017-12-02,mexico,medellin,4,30.18,tarjeta,,0
1502,Carlos,33,2016-03-13,2018-01-27,mexico,Buenos Aires,1,299.81,Efectivo,móvil,0
1503,Carlos,49,2022-08-05,2023-07-27,argentina,CDMX,4,469.69,paypal,tablet,1
1504,Carlos,33,2015-07-05,2016-03-05,COLOMBIA,CDMX,9,25.91,paypal,móvil,1
1505,Luis,31,2019-05-09,2020-08-04,Perú,cdmx,5,13.89,tarjeta,Pc,0
1506,Carlos,23,2016-11-03,2019-05-12,argentina,CDMX,4,379.22,efectivo,móvil,0
1507,Ana,50,2018-06-27,2020-05-14,argentina,CDMX,8,139.01,Tarjeta,pc,0
1508,Pedro,17,2017-09-27,2022-06-12,,Lima,5,224.5,paypal,Pc,1
1509,Ana,28,2021-05-15,2023-01-09,mexico,cdmx,6,116.49,,Móvil,0
1510,desconocido,55,2016-11-13,2019-09-06,ARGENTINA,bogota,2,106.35,tarjeta,,0
1511,Pedro,40,2019-09-15,2021-08-26,,Bogotá,5,71.24,tarjeta,,1
1512,Ana,34,2017-07-13,2019-11-12,mexico,Bogotá,5,165.53,efectivo,móvil,0
1513,Pedro,35,2021-08-24,2023-08-08,argentina,medellin,4,34.82,,,1
1514,desconocido,23,2022-11-22,2026-11-09,peru,bogota,3,252.62,,,0
1515,Juan,34,2017-09-25,2017-11-07,México,cdmx,4,159.45,paypal,,1
1516,Luis,30,2015-10-12,2017-11-12,mexico,,5,376.15,efectivo,móvil,0
1517,Luis,37,2016-02-25,2019-03-17,México,Buenos Aires,7,507.7,Efectivo,móvil,1
1518,Carlos,150,2020-11-30,2025-08-03,colombia,medellin,5,461.69,tarjeta,pc,1
1519,María,39,2021-03-25,2021-12-24,Perú,bogota,8,183.87,Tarjeta,tablet,1
1520,Carlos,47,2019-02-03,2020-09-01,argentina,Bogotá,4,76.76,tarjeta,tablet,1
1521,Laura,32,2016-06-11,2019-09-13,ARGENTINA,Lima,5,88.37,efectivo,Pc,0
1522,Ana,42,2021-12-18,2023-03-18,COLOMBIA,Medellín,1,211.42,Tarjeta,Pc,1
1523,Pedro,38,2015-01-31,2017-03-03,ARGENTINA,cdmx,5,248.94,Tarjeta,pc,0
1524,María,27,2015-06-11,2017-07-30,,CDMX,7,35.18,tarjeta,,1
1525,desconocido,22,2020-01-16,2024-10-23,México,CDMX,3,1237.92,Tarjeta,pc,0
1526,Laura,23,2016-12-05,2019-04-19,,bogota,6,22.75,paypal,pc,1
1527,desconocido,38,2016-12-22,2018-01-01,peru,,10,186.84,tarjeta,Móvil,0
1528,Luis,34,2018-11-02,2022-03-24,colombia,medellin,4,151.44,efectivo,,0
1529,Luis,50,2016-03-21,2017-05-19,ARGENTINA,Bogotá,5,178.8,Efectivo,,0
1530,Carlos,44,2022-08-23,2026-05-02,ARGENTINA,bogota,8,152.61,efectivo,pc,0
1531,Ana,44,2016-03-02,2017-06-06,peru,,7,11.93,paypal,pc,1
1532,María,38,2021-12-26,2023-04-08,argentina,Lima,10,1100.6,Efectivo,pc,0
1533,,23,2019-03-31,2022-04-09,mexico,bogota,3,795.6,Efectivo,pc,1
1534,Laura,38,2020-05-21,2020-05-26,México,Lima,5,148.62,,,0
1535,Laura,35,2016-12-21,2019-11-16,México,medellin,8,46.73,efectivo,tablet,1
1536,Carlos,21,2022-06-24,2024-02-13,Perú,bogota,6,40.41,tarjeta,móvil,1
1537,Luis,49,2019-12-07,2022-10-15,Perú,medellin,5,11.75,tarjeta,móvil,1
1538,Carlos,48,2022-03-14,2022-02-13,Perú,CDMX,1,189.28,Efectivo,tablet,0
1539,Pedro,21,2020-05-18,2022-03-03,México,medellin,5,130.11,efectivo,pc,1
1540,María,27,2017-11-23,2020-02-05,mexico,Medellín,3,107.68,efectivo,,0
1541,Ana,28,2020-08-06,2020-06-18,argentina,cdmx,2,148.98,tarjeta,Móvil,1
1542,Juan,42,2017-01-05,2019-06-27,colombia,Bogotá,4,412.48,,Móvil,0
1543,Sofía,40,2022-07-01,2025-09-30,colombia,Buenos Aires,10,14.67,paypal,Pc,0
1544,Sofía,35,2017-01-27,2020-04-03,peru,CDMX,4,157.09,tarjeta,móvil,0
1545,Carlos,38,2019-12-01,2021-07-07,Colombia,Buenos Aires,3,241.47,tarjeta,Pc,0
1546,Pedro,19,2019-07-02,2024-01-29,COLOMBIA,medellin,4,705.96,paypal,pc,1
1547,María,39,2017-01-23,2021-04-02,mexico,medellin,4,269.18,tarjeta,Pc,1
1548,,-5,2015-01-24,2017-05-22,Colombia,CDMX,7,158.87,Efectivo,pc,0
1549,Sofía,26,2018-05-24,2022-09-13,,CDMX,3,291.14,Efectivo,Pc,0
1550,María,16,2015-02-24,2018-10-11,Perú,cdmx,4,1165.75,Efectivo,tablet,0
1551,Ana,35,2018-07-28,2022-08-20,,CDMX,4,439.17,,,0
1552,desconocido,39,2022-10-22,2025-05-25,colombia,CDMX,4,18.66,Efectivo,pc,0
1553,Pedro,14,2021-07-02,2024-10-04,COLOMBIA,Buenos Aires,9,171.05,,Móvil,1
1554,Luis,35,2017-08-27,2021-10-28,Colombia,cdmx,6,308.8,Efectivo,pc,1
1555,María,36,2021-02-11,2024-01-23,ARGENTINA,bogota,2,222.87,efectivo,Móvil,1
1556,Ana,28,2021-12-17,2024-07-05,argentina,medellin,8,107.9,efectivo,,1
1557,,39,2016-03-09,2017-02-02,COLOMBIA,medellin,5,77.85,paypal,Móvil,1
1558,Juan,33,2015-07-27,2018-11-23,México,CDMX,5,197.24,,Pc,1
1559,Luis,38,2015-05-13,2017-07-13,COLOMBIA,cdmx,8,106.33,Tarjeta,móvil,0
1560,Juan,41,2018-09-24,2021-05-24,peru,CDMX,7,99.52,Efectivo,móvil,0
1561,,41,2018-05-04,2018-05-10,México,cdmx,6,362.48,Tarjeta,móvil,1
1562,Ana,47,2018-07-09,2020-04-13,Colombia,Buenos Aires,8,75.86,Tarjeta,Móvil,0
1563,Sofía,39,2018-07-29,2022-05-08,,medellin,3,207.08,Efectivo,móvil,1
1564,Juan,29,2016-01-04,2017-06-08,argentina,Medellín,4,413.4,tarjeta,pc,0
1565,Luis,27,2018-04-21,2020-10-01,peru,,4,194.45,paypal,pc,0
1566,Carlos,22,2021-10-06,2021-11-19,COLOMBIA,Medellín,3,135.76,,,0
1567,Laura,36,2021-04-10,2023-03-31,colombia,Buenos Aires,3,7.19,Tarjeta,pc,1
1568,María,50,2017-02-20,2017-12-28,México,CDMX,3,228.87,tarjeta,,0
1569,Sofía,30,2022-04-25,2022-05-08,Colombia,,1,1200.39,tarjeta,Móvil,0
1570,Juan,40,2016-07-20,2016-08-12,Colombia,Medellín,6,330.5,Efectivo,Móvil,1
1571,desconocido,25,2016-06-10,2016-05-26,ARGENTINA,Buenos Aires,3,201.28,paypal,móvil,0
1572,María,37,2015-02-06,2014-12-14,,Lima,1,126.65,Efectivo,,1
1573,Carlos,50,2015-06-27,2020-05-30,Perú,Lima,3,50.8,paypal,Pc,0
1574,,43,2016-09-30,2020-10-11,peru,,3,235.6,Efectivo,Móvil,1
1575,Laura,16,2022-12-09,2027-06-04,colombia,Buenos Aires,9,39.03,paypal,tablet,1
1576,Ana,41,2015-03-13,2020-05-30,,Medellín,4,436.16,efectivo,pc,0
1577,Carlos,42,2021-07-27,2023-06-30,Colombia,cdmx,5,87.39,tarjeta,pc,1
1578,Carlos,37,2022-04-24,2027-06-26,Perú,cdmx,5,102.1,,móvil,0
1579,,43,2018-03-18,2020-11-11,COLOMBIA,CDMX,7,48.68,tarjeta,Pc,1
1580,Pedro,24,2019-09-17,2022-09-12,Colombia,Medellín,7,131.43,tarjeta,pc,0
1581,,35,2015-04-15,2015-02-19,peru,,4,228.17,paypal,Móvil,0
1582,Pedro,48,2019-08-10,2020-10-22,argentina,Lima,6,72.13,tarjeta,Pc,1
1583,Pedro,47,2015-08-09,2015-07-26,argentina,medellin,4,242.02,efectivo,pc,0
1584,Sofía,41,2020-01-24,2023-08-24,Colombia,cdmx,2,193.82,efectivo,móvil,1
1585,Sofía,24,2017-05-12,2017-10-23,peru,CDMX,8,93.17,Tarjeta,móvil,0
1586,Luis,22,2022-01-09,2023-09-03,México,Bogotá,2,75.03,tarjeta,móvil,1
1587,Juan,36,2015-10-26,2019-07-30,Perú,bogota,3,395.13,Efectivo,Móvil,1
1588,Juan,37,2022-12-18,2023-03-13,mexico,Bogotá,3,2.4,Efectivo,móvil,0
1589,Ana,33,2015-02-11,2015-09-24,Colombia,,2,251.69,Efectivo,tablet,1
1590,Juan,25,2017-02-09,2020-02-20,,,6,108.0,,Móvil,1
1591,Sofía,40,2021-12-14,2022-10-06,COLOMBIA,CDMX,6,252.95,efectivo,tablet,0
1592,Luis,36,2019-01-02,2022-11-06,ARGENTINA,Buenos Aires,3,141.66,Tarjeta,móvil,1
1593,Luis,38,2020-11-02,2024-06-20,,medellin,7,17.52,,Pc,0
1594,Pedro,42,2019-09-06,2023-05-08,argentina,Bogotá,4,804.06,Tarjeta,Móvil,0
1595,,31,2017-09-17,2020-06-01,ARGENTINA,medellin,3,17.99,efectivo,tablet,0
1596,Ana,29,2016-12-11,2019-04-15,México,Lima,6,34.5,Tarjeta,Móvil,0
1597,Pedro,48,2015-07-28,2016-10-24,México,bogota,7,109.06,Efectivo,tablet,1
1598,,25,2018-06-25,2021-01-20,Perú,bogota,4,578.72,Efectivo,,1
1599,Juan,29,2018-05-19,2018-03-23,Perú,cdmx,3,69.37,efectivo,Móvil,1
1600,Pedro,49,2015-02-08,2017-04-18,colombia,,4,168.17,Efectivo,pc,1
1601,María,28,2018-06-29,2022-12-08,México,Medellín,2,147.39,paypal,tablet,1
1602,Juan,33,2020-01-01,2021-01-16,argentina,Lima,7,80.14,Efectivo,tablet,0
1603,,30,2017-01-31,2022-05-21,Perú,,6,238.36,tarjeta,Móvil,1
1604,Ana,13,2018-12-07,2022-03-07,Colombia,,5,139.22,efectivo,Pc,0
1605,,33,2019-01-09,2022-01-10,argentina,medellin,4,172.69,efectivo,pc,0
1606,Pedro,22,2020-09-30,2024-06-25,Colombia,bogota,7,47.18,Tarjeta,tablet,1
1607,Pedro,38,2016-01-09,2017-04-18,,Bogotá,5,522.23,Tarjeta,móvil,0
1608,Carlos,48,2017-07-19,2019-05-21,colombia,cdmx,6,23.44,Tarjeta,móvil,1
1609,Ana,8,2015-06-05,2018-06-27,COLOMBIA,CDMX,2,234.41,tarjeta,,0
1610,desconocido,30,2019-04-15,2020-04-19,COLOMBIA,cdmx,4,434.13,Efectivo,Móvil,1
1611,Juan,40,2018-01-18,2021-07-11,peru,Lima,7,17.55,efectivo,Pc,1
1612,Luis,8,2022-06-19,2024-01-11,COLOMBIA,,3,5.83,Efectivo,pc,1
1613,Ana,51,2021-07-26,2024-07-04,Perú,cdmx,4,81.04,Tarjeta,tablet,1
1614,Luis,39,2020-10-17,2020-10-27,argentina,cdmx,4,312.08,efectivo,móvil,0
1615,Ana,47,2018-06-19,2020-12-31,COLOMBIA,Medellín,5,252.72,Tarjeta,tablet,0
1616,Ana,28,2016-10-15,2017-06-15,ARGENTINA,Buenos Aires,2,345.37,,móvil,0
1617,,29,2015-03-04,2018-12-05,colombia,,6,101.33,tarjeta,Móvil,1
1618,Ana,33,2016-05-23,2018-03-30,COLOMBIA,Bogotá,5,1015.32,efectivo,Móvil,0
1619,Carlos,60,2021-05-28,2024-12-21,COLOMBIA,cdmx,4,91.17,Tarjeta,tablet,0
1620,desconocido,50,2019-08-15,2021-02-22,Perú,Lima,4,327.34,Tarjeta,Móvil,0
1621,Pedro,36,,,México,Buenos Aires,4,86.4,,pc,1
1622,Laura,38,2019-08-20,2024-05-18,mexico,Buenos Aires,6,999999.0,Tarjeta,,0
1623,Luis,42,2022-11-08,2027-08-06,Colombia,Lima,5,82.1,tarjeta,Móvil,0
1624,Pedro,63,2018-10-20,2019-10-08,Perú,Buenos Aires,2,42.81,Efectivo,pc,1
1625,Laura,39,2021-01-06,2022-10-08,COLOMBIA,,4,27.65,Efectivo,Móvil,0
1626,desconocido,35,2018-07-18,2023-02-11,Perú,Lima,8,-100.0,Efectivo,tablet,1
1627,desconocido,30,2019-05-24,2023-01-26,,Medellín,7,31.75,tarjeta,pc,0
1628,Luis,37,2018-02-13,2022-08-19,Perú,,10,139.56,,,0
1629,Luis,27,2016-12-04,2018-11-27,Colombia,Bogotá,4,7.21,Efectivo,,0
1630,desconocido,40,2016-05-30,2016-07-13,Perú,Buenos Aires,4,112.89,Efectivo,,1
1631,Laura,17,2020-04-21,2025-07-10,peru,cdmx,2,634.04,tarjeta,Pc,1
1632,Ana,31,2020-01-08,2022-09-01,,Medellín,2,88.9,efectivo,,0
1633,Juan,43,2018-06-18,2023-01-29,mexico,,5,29.62,Tarjeta,tablet,1
1634,María,39,2015-01-30,2018-08-31,México,cdmx,5,72.83,Tarjeta,pc,1
1635,Pedro,29,2015-11-22,2020-06-10,argentina,Lima,5,313.35,tarjeta,móvil,1
1636,,32,2015-01-16,2017-04-04,México,bogota,8,75.28,Efectivo,,1
1637,Pedro,47,2015-04-21,2017-02-09,COLOMBIA,Bogotá,5,96.74,,móvil,1
1638,,20,2022-12-29,2026-11-14,Colombia,Bogotá,9,310.98,paypal,Pc,0
1639,Laura,20,2022-07-23,2023-09-26,peru,Medellín,6,60.37,Efectivo,móvil,0
1640,,23,2015-04-17,2018-09-27,peru,Medellín,5,130.13,paypal,tablet,1
1641,Luis,34,2021-08-23,2026-12-02,Perú,Buenos Aires,7,13.05,Tarjeta,,1
1642,Juan,18,2021-01-18,2023-07-14,argentina,Lima,2,38.25,,pc,1
1643,Juan,46,2015-10-10,2019-09-16,mexico,Buenos Aires,3,47.0,tarjeta,,1
1644,Luis,23,2015-09-26,2018-12-12,argentina,Bogotá,6,124.57,,tablet,0
1645,Carlos,37,2021-12-06,2024-03-31,colombia,medellin,2,344.05,Efectivo,Móvil,0
1646,Laura,28,2022-06-07,2025-05-03,peru,Buenos Aires,4,87.55,tarjeta,Móvil,0
1647,Carlos,34,2018-05-05,2021-08-15,peru,bogota,3,95.76,Efectivo,móvil,1
1648,Carlos,15,2018-06-20,2020-12-07,COLOMBIA,Lima,7,71.62,Efectivo,Pc,0
1649,Pedro,47,2016-08-20,2021-09-30,ARGENTINA,Buenos Aires,6,77.28,,Pc,1
1650,desconocido,23,2017-03-09,2019-04-29,México,,4,999999.0,Efectivo,,0
1651,Pedro,22,2018-07-06,2023-04-18,colombia,Lima,5,459.33,paypal,Móvil,1
1652,desconocido,63,2022-10-16,2027-12-04,Perú,,7,4.94,tarjeta,Pc,0
1653,María,41,2018-03-18,2022-05-26,,bogota,7,195.94,Tarjeta,Pc,1
1654,,46,2020-03-05,2020-05-16,COLOMBIA,Bogotá,1,437.29,efectivo,móvil,0
1655,desconocido,40,2021-09-03,2022-09-10,,Bogotá,5,107.9,paypal,,0
1656,Luis,29,2020-07-04,2024-03-11,,medellin,4,210.49,Tarjeta,tablet,1
1657,Pedro,19,2021-09-29,2022-10-31,mexico,Bogotá,6,176.24,tarjeta,tablet,0
1658,Laura,31,2016-03-01,2018-08-06,peru,Lima,6,82.69,efectivo,pc,1
1659,,23,2019-09-22,2023-11-05,argentina,Buenos Aires,6,29.56,efectivo,tablet,0
1660,María,23,2022-12-24,2023-11-07,mexico,Medellín,7,49.59,tarjeta,tablet,0
1661,desconocido,16,2020-11-03,2024-04-26,ARGENTINA,Bogotá,8,11.83,paypal,móvil,1
1662,María,36,2018-05-24,2020-01-27,argentina,Medellín,3,289.4,,,1
1663,Laura,53,2021-10-06,2021-12-23,,bogota,6,152.2,,móvil,1
1664,Carlos,41,2015-04-28,2020-04-30,,cdmx,2,308.01,Efectivo,,1
1665,Juan,33,2021-09-28,2024-01-21,peru,Lima,2,68.55,Efectivo,tablet,1
1666,Laura,34,2016-08-21,2021-11-21,Perú,,1,326.62,Efectivo,pc,1
1667,Sofía,-1,2020-09-18,2022-06-18,argentina,CDMX,5,73.98,Tarjeta,tablet,0
1668,Laura,29,2018-03-30,2023-04-29,Colombia,medellin,5,25.87,tarjeta,,1
